FILE_PATH,ATTR,CMD,COMMENT,ENS,FILE,FILE_MODE,HARD_CODE,INCL,SLOC,REQ,SSH,URL,ICP_STATUS
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/kafka-2018-06/manifests/mirror/monitoring.pp,6,2,14,0,0,0,2,0,33,2,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/kafka-2018-06/tests/kafka.pp,0,0,0,0,0,0,0,0,1,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/kafka-2018-06/tests/server.pp,2,0,0,0,0,0,4,0,9,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/mariadb-2018-06/manifests/init.pp,0,0,2,0,0,0,0,4,9,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/mariadb-2018-06/manifests/mysqld_safe.pp,5,0,6,1,1,1,5,0,18,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/mariadb-2018-06/manifests/packages_client.pp,1,0,3,1,0,0,0,0,18,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/mariadb-2018-06/manifests/packages_wmf.pp,5,0,4,3,0,0,2,0,56,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/mariadb-2018-06/manifests/service.pp,15,0,14,4,3,1,7,0,53,4,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/mesos-2018-06/manifests/config.pp,18,0,14,4,4,1,8,0,60,1,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/mesos-2018-06/manifests/install.pp,3,0,11,1,0,0,4,0,41,1,0,1,NEUTRAL
